"text","true_type"
"There's a duplicate payment on my account for the same procedure, I need one reversed.","Billing/Claim Dispute"
"My copay was charged twice this month, can you refund one of them?","Billing/Claim Dispute"
"I got a bill for an ER visit that my plan should have covered in full.","Billing/Claim Dispute"
"Could you tell me whether my annual physical is covered before I book it?","Claim Status/Coverage Enquiry"
"What's the current status of the claim my doctor submitted on the 3rd?","Claim Status/Coverage Enquiry"
"How many therapy sessions does my plan cover per year?","Claim Status/Coverage Enquiry"
"I'd like to schedule a follow-up with my cardiologist for next month.","Prior-Auth/Appointment Service Request"
"Please start a prior authorization for the physical therapy my doctor ordered.","Prior-Auth/Appointment Service Request"
"Can you check whether the authorization for my knee MRI has been approved?","Prior-Auth/Appointment Service Request"
"This is the fourth call about the same denied claim and I'm done being polite.","Complaint/Urgent Escalation"
"I intend to file a formal complaint about the repeated mistakes on my account.","Complaint/Urgent Escalation"
"I'm having chest pain and shortness of breath right now, what should I do?","Complaint/Urgent Escalation"
"Hey, quick question about my account stuff.","Unknown/Needs Human Review"
"Can someone get back to me? It's complicated.","Unknown/Needs Human Review"
"Not sure this is the right place but I have an issue.","Unknown/Needs Human Review"
"Following up on my thing from earlier.","Unknown/Needs Human Review"
